Age,Grade,Gender,Race,SES_Quartile,ParentalEducation,SchoolType,Locale,TestScore_Math,TestScore_Reading,TestScore_Science,GPA,AttendanceRate,StudyHours,InternetAccess,Extracurricular,PartTimeJob,ParentSupport,Romantic,FreeTime,GoOut
17,12,Female,White,3,HS,Public,Suburban,70.25823548338548,79.6651847035797,80.82422979723856,2.743878869423204,0.9068087184509344,1.0892431920273848,1,1,0,0,0,2,2
18,12,Female,White,2,HS,Public,Suburban,67.87654582366186,59.61150524668959,70.9203406993295,2.587699661565628,0.8437393636912216,0.8799107239520898,1,1,0,1,0,5,2
16,11,Female,White,2,HS,Public,City,62.07062325793374,70.57744321423539,60.624018354069534,2.426293516645388,0.8509229819097245,1.0034423835260524,1,1,0,1,1,5,1
14,9,Female,White,4,Bachelors+,Public,Town,79.90931215417793,82.9244499985335,85.5853147100255,3.5582400164094024,0.9467861905219864,1.814810153617976,1,1,0,1,0,4,2
16,11,Female,Two-or-more,4,SomeCollege,Public,Rural,90.5622936564458,95.35233612539456,88.92816115640555,3.896883989752834,0.9880360093716672,1.1572406740086272,1,1,0,0,0,3,4
14,9,Female,Hispanic,1,SomeCollege,Public,Suburban,74.32370867149116,77.63983918260071,72.72550329655982,2.7288818249064346,0.8752757436683564,0.8000961877012319,1,1,0,0,0,2,2
16,11,Female,Black,1,SomeCollege,Private,Suburban,62.06874079528775,71.36718642588387,64.47776025506633,3.0581437703469474,0.8809687227376156,0.7854280747616118,1,0,0,1,0,3,2
18,12,Female,White,1,HS,Public,Suburban,73.28002901304322,62.1644483243006,80.00441804994533,2.87857698879621,0.9136632815780222,1.533874342171749,1,1,1,0,0,4,1
18,12,Female,Hispanic,1,<HS,Public,Suburban,60.58833913385234,74.41973701762917,75.95663045546915,2.841019167135108,0.8494709982965196,0.9852286255599588,1,1,0,0,1,2,4
16,11,Female,White,3,HS,Public,Suburban,73.16913690294805,80.83183057382838,72.52267068484304,2.856098385975421,0.9142547948125872,1.088165552222106,1,0,0,0,0,3,3
18,12,Female,Hispanic,2,SomeCollege,Public,Suburban,59.74921583933822,59.57456642307433,45.69342969968175,2.614668670538772,0.7978196952920898,0.8258203199824519,0,0,1,0,0,2,1
18,12,Male,White,3,SomeCollege,Public,City,74.92105532079823,69.7124705895728,79.68609410242611,3.0105715050057973,0.9157097162024164,0.8943945575531447,1,0,0,0,0,3,2
14,9,Female,White,3,SomeCollege,Public,City,61.17908711789072,59.91317157897527,50.92824419240347,2.465346677595264,0.7975826361140296,0.6942409686699413,1,0,0,1,0,2,3
17,12,Male,Hispanic,3,<HS,Public,Town,70.65786682976969,65.0671734131015,63.31887707571419,2.499901696408957,0.898336645330878,0.5109477355535663,1,1,0,0,1,3,3
14,9,Female,White,4,Bachelors+,Public,Suburban,69.45128835460845,78.31631857812066,84.13684888207496,3.1849464764021387,0.910126542033964,0.7319036254521034,1,1,1,0,0,1,4
16,11,Male,Two-or-more,3,HS,Public,City,62.5047653550342,67.22206696969066,74.54634172829564,2.565435533174309,0.8493642848509758,0.3415218401052029,1,1,1,0,0,4,2
